age,monthly_income,years_at_company,job_level,job_satisfaction,overtime,attrition
22,25000,1,1,2,yes,1
25,30000,2,1,3,no,0
28,35000,3,2,3,no,0
30,40000,4,2,4,no,0
35,55000,7,3,4,no,0
40,70000,10,4,3,no,0
45,85000,15,5,4,no,0
23,27000,1,1,1,yes,1
26,32000,2,1,2,yes,1
29,38000,3,2,2,no,0
31,42000,4,2,3,no,0
34,50000,6,3,4,no,0
37,60000,8,3,3,no,0
42,75000,12,4,3,no,0
48,90000,18,5,4,no,0
24,26000,1,1,1,yes,1
27,33000,2,1,2,yes,1
32,45000,5,2,3,no,0
36,58000,7,3,3,no,0
39,65000,9,3,4,no,0
44,80000,14,4,3,no,0
50,95000,20,5,4,no,0
21,24000,1,1,1,yes,1
28,36000,3,2,2,yes,1
33,48000,6,3,3,no,0
38,62000,8,3,4,no,0
41,72000,11,4,3,no,0
46,87000,16,5,4,no,0
29,39000,4,2,2,yes,1
35,52000,6,3,3,no,0
21,70000,1,2,1,no,1
